No.,Ticker,②自己資本比率,⑤業界/セクター,⑧当期売上高,成長率(最新),成長率(1期前),成長率(2期前),⑨当期純利益,利益率,配当率,⑬フェアバリュー,⑭判定,⑮自作シグナル,⑯保有,更新日時
359,CAT,N/A,Industrials / Farm & Heavy Construction Machinery,70755000320,4.29%,-3.36%,12.84%,8884000000.0,12.56%,0.71%,165.64,割高,-,-,2026-06-12 02:49:36
360,HON,N/A,Industrials / Conglomerates,37660000256,7.85%,5.17%,-6.93%,4729000000.0,12.56%,2.31%,74.35,割高,-,-,2026-06-12 02:49:36
361,RTX,N/A,Industrials / Aerospace & Defense,90372997120,9.74%,17.15%,2.75%,6732000000.0,7.45%,1.56%,91.62,割高,-,-,2026-06-12 02:49:36
362,GE,N/A,Industrials / Aerospace & Defense,48312999936,18.48%,9.49%,21.31%,8704000000.0,18.02%,0.59%,59.0,割高,-,-,2026-06-12 02:49:36
363,DE,N/A,Industrials / Farm & Heavy Construction Machinery,47337000960,-11.59%,-16.15%,17.48%,5027000000.0,10.62%,1.16%,228.49,割高,-,-,2026-06-12 02:49:36
364,UPS,N/A,Industrials / Integrated Freight & Logistics,88317001728,-2.65%,0.12%,-9.35%,5572000000.0,6.31%,6.35%,58.66,割高,-,-,2026-06-12 02:49:36
365,LMT,N/A,Industrials / Aerospace & Defense,75106000896,5.64%,5.14%,2.41%,5017000000.0,6.68%,2.63%,153.33,割高,-,-,2026-06-12 02:49:36
366,ITW,N/A,Industrials / Specialty Industrial Machinery,16220999680,0.92%,-1.30%,1.10%,3066000000.0,18.90%,2.57%,55.44,割高,-,-,2026-06-12 02:49:36
367,NOC,N/A,Industrials / Aerospace & Defense,42367000576,2.24%,4.44%,7.34%,4182000000.0,9.87%,1.73%,285.85,割高,-,-,2026-06-12 02:49:36
368,ETN,N/A,Industrials / Specialty Industrial Machinery,28522000384,10.33%,7.25%,11.78%,4087000000.0,14.33%,1.17%,134.04,割高,-,-,2026-06-12 02:49:36
369,CSX,N/A,Industrials / Railroads,14151000064,-3.08%,-0.80%,-1.32%,2889000000.0,20.42%,1.21%,18.88,割高,-,-,2026-06-12 02:49:36
370,NSC,N/A,Industrials / Railroads,12184999936,0.47%,-0.27%,-4.62%,2873000000.0,23.58%,1.75%,146.44,割高,-,-,2026-06-12 02:49:36
371,WM,N/A,Industrials / Waste Management,25412999168,14.24%,8.01%,3.70%,2708000000.0,10.66%,1.58%,71.99,割高,-,-,2026-06-12 02:49:36
